# CSV Template für BRUCHLAST Chart (Erweiterte Version)
# Anleitung:
# 1. Tragen Sie bis zu 20 Messwerte in die Spalte "Messwert" ein
# 2. Definieren Sie die Grenzwerte und Metadaten am Ende der Datei
# 3. Die Prozentwerte bitte nach dieser Formel berechnet:
#    Prozent = ((Messwert - Unterer_Grenzwert) / (Oberer_Grenzwert - Unterer_Grenzwert)) * 100
# 
# DATEINAMEN-KONVENTION (max. 30 Zeichen):
# Format: [U/W]_[Farbe]_[Beschreibung].csv
# - U = Ursache (gestrichelte Linie)
# - W = Wirkung (durchgezogene Linie)
# FARBEN FÜR PLANETARE GRENZEN UND KATEGORIEN:
# - gelb = Klimawandel (CO2-Konzentration, Temperaturanstieg)
# - rot = Neue Substanzen (Chemikalien, Kunststoffe, Radioaktivität)
# - blau = Süßwassersysteme (Wasserverbrauch, Grundwasserentnahme)
# - grün = Landnutzung (Waldverlust, Landumwandlung)
# - lila = Biodiversität (Artenverlust, Aussterberate)
# - cyan = Ozeanversauerung (pH-Wert, CO2-Aufnahme)
# - grau = Aerosolbelastung (Partikel in der Atmosphäre)
# - weiss = Nährstoffkreisläufe (Stickstoff, Phosphor)
# - orange = Stratosphärische Ozonzerstörung (Ozonloch)
# - magenta = Planetare Gesundheit (Gesundheitssysteme, Lebensqualität)
# - braun = Rohstoffe & Ressourcen (Mineralien, Energie, Materialien)
# - Beschreibung = Kurvenbeschreibung
# 
# Beispiele für alle Kategorien:
# - U_gelb_CO2_Emissionen.csv (Ursache, Klimawandel, gestrichelt)
# - W_rot_Kunststoffe.csv (Wirkung, Neue Substanzen, durchgezogen)
# - U_blau_Wasserverbrauch.csv (Ursache, Süßwassersysteme, gestrichelt)
# - W_grün_Waldverlust.csv (Wirkung, Landnutzung, durchgezogen)
# - U_lila_Artenverlust.csv (Ursache, Biodiversität, gestrichelt)
# - W_cyan_Ozeanversauerung.csv (Wirkung, Ozeanversauerung, durchgezogen)
# - U_grau_Aerosole.csv (Ursache, Aerosolbelastung, gestrichelt)
# - W_weiss_Stickstoff.csv (Wirkung, Nährstoffkreisläufe, durchgezogen)
# - U_orange_Ozonloch.csv (Ursache, Ozonzerstörung, gestrichelt)
# - W_magenta_Gesundheit.csv (Wirkung, Planetare Gesundheit, durchgezogen)
# - U_braun_Energieverbrauch.csv (Ursache, Rohstoffe & Ressourcen, gestrichelt)

Jahr,Messwert,Prozent
1700,,
1800,,
1900,,
2000,,
2010,,
2020,,
2030,,
2040,,
2050,,
2060,,
2070,,
2080,,
2090,,
2100,,
2110,,
2120,,
2130,,
2140,,
2150,,
2160,,

# ===== METADATEN =====
# Kurveninformationen:
# Kurvenname: [Name der Kurve]
# Kurventyp: [U/W] (U=Ursache, W=Wirkung)
# Linienfarbe: [rot/gelb/blau/grün/orange/lila/etc.]
# Kurvenbeschreibung: [Detaillierte Beschreibung der Kurve und Messwerte]

# Grenzwerte und Einheiten:
# Unterer_Grenzwert: [numerischer Wert]
# Oberer_Grenzwert: [numerischer Wert]
# Messwert_Einheit: [z.B. °C, ppm, %, kg, etc.]

# Quellenangaben:
# Autoren: [Namen der Autoren]
# Veröffentlichungsdatum: [YYYY-MM-DD]
# Veröffentlichungsort: [Zeitschrift, Konferenz, etc.]
# Internetlink: [DOI, URL zum Paper]
# Zusätzliche_Informationen: [Weitere relevante Details]

# Formel:
# Prozent = ((Messwert - Unterer_Grenzwert) / (Oberer_Grenzwert - Unterer_Grenzwert)) * 100 
